ALL
"PAT_NO	ADM_DATE	DIS_DATE	TOT_NO_DXS	OCCURRENCE	DIAGNOSIS"
"639631	11/20/00	11/23/00	4	3	998.1"
"					"
"639631	11/20/00	11/23/00	4	4	1010.85"
"					"
"641293	12/8/00	12/9/00	4	1	786.5"
"					"
"641293	12/8/00	12/9/00	4	2	1010.46"
"					"
"641293	12/8/00	12/9/00	4	3	1010.79"
"					"
"641293	12/8/00	12/9/00	4	4	401.1"
"					"
"649705	11/13/00	11/14/00	3	1	786.52"
"					"
"649705	11/13/00	11/14/00	3	2	401.9"
"					"
"649705	11/13/00	11/14/00	3	3	1045"
"					"
"650227	11/29/00	12/4/00	5	1	714"
"					"
"650227	11/29/00	12/4/00	5	2	496"
"					"
"650227	11/29/00	12/4/00	5	3	428"
"					"
"650227	11/29/00	12/4/00	5	4	427.31"
"					"
"650227	11/29/00	12/4/00	5	5	582.9"
"					"
"667897	11/6/00	11/11/00	6	1	532.4"
"					"
"667897	11/6/00	11/11/00	6	2	285.1"
"					"
"667897	11/6/00	11/11/00	6	3	496"
"					"
"667897	11/6/00	11/11/00	6	4	428"
"					"
"667897	11/6/00	11/11/00	6	5	10935.6"
"					"
"667897	11/6/00	11/11/00	6	6	716.9"
"					"
"670573	10/9/00	10/10/00	1	1	188.8"
"					"
"697027	11/26/00	11/27/00	2	1	650"
"					"
"697027	11/26/00	11/27/00	2	2	1027"
"					"
"698911	12/19/00	12/20/00	3	1	411.1"
"					"
"698911	12/19/00	12/20/00	3	2	414"
"					"
"698911	12/19/00	12/20/00	3	3	410.02"
"					"
"721135	10/13/00	10/25/00	5	1	424.1"
"					"
"721135	10/13/00	10/25/00	5	2	427.89"
"					"
"721135	10/13/00	10/25/00	5	3	401.9"
"					"
"721135	10/13/00	10/25/00	5	4	1010.3"
"					"
"721135	10/13/00	10/25/00	5	5	1010.52"
"					"
"721135	11/25/00	11/27/00	7	1	518"
"					"
"721135	11/25/00	11/27/00	7	2	1043.3"
"					"
"721135	11/25/00	11/27/00	7	3	401.9"
"					"
"721135	11/25/00	11/27/00	7	4	285.9"
"					"
"721135	11/25/00	11/27/00	7	5	714"
"					"
"721135	11/25/00	11/27/00	7	6	1010.3"
"					"
"721135	11/25/00	11/27/00	7	7	1010.52"
"					"
"734551	10/8/00	10/11/00	4	1	182"
"					"
"734551	10/8/00	10/11/00	4	2	1045.89"
"					"
"734551	10/8/00	10/11/00	4	3	401.9"
"					"
"734551	10/8/00	10/11/00	4	4	272"
"					"
"750145	12/26/00	12/27/00	4	1	435"
"					"
"750145	12/26/00	12/27/00	4	2	204.1"
"					"
"750145	12/26/00	12/27/00	4	3	435.1"
"					"
"750145	12/26/00	12/27/00	4	4	401.9"
"					"
"769225	10/26/00	10/28/00	6	1	578.1"
"					"
"769225	10/26/00	10/28/00	6	2	280"
"					"
"769225	10/26/00	10/28/00	6	3	250.01"
"					"
"769225	10/26/00	10/28/00	6	4	558.9"
"					"
"769225	10/26/00	10/28/00	6	5	1044.3"
"					"
"769225	10/26/00	10/28/00	6	6	1012.7"
"					"
"778189	12/13/00	12/18/00	4	1	721.3"
"					"
"778189	12/13/00	12/18/00	4	2	998.8"
"					"
"778189	12/13/00	12/18/00	4	3	724.02"
"					"
"778189	12/13/00	12/18/00	4	4	780.6"
"					"
"781081	12/12/00	12/17/00	7	1	590.8"
"					"
"781081	12/12/00	12/17/00	7	2	599.6"
"					"
"781081	12/12/00	12/17/00	7	3	424"
"					"
"781081	12/12/00	12/17/00	7	4	41.4"
"					"
"781081	12/12/00	12/17/00	7	5	414"
"					"
"781081	12/12/00	12/17/00	7	6	1012.5"
"					"
"781081	12/12/00	12/17/00	7	7	790.2"
"					"
"793903	10/5/00	10/10/00	6	1	157.1"
"					"
"793903	10/5/00	10/10/00	6	2	197.6"
"					"
"793903	10/5/00	10/10/00	6	3	197.2"
"					"
"793903	10/5/00	10/10/00	6	4	1010.06"
"					"
"793903	10/5/00	10/10/00	6	5	1044.3"
"					"
"793903	10/5/00	10/10/00	6	6	564"
"					"
"801373	11/24/00	11/25/00	3	1	535.5"
"					"
"801373	11/24/00	11/25/00	3	2	401.9"
"					"
"801373	11/24/00	11/25/00	3	3	350.1"
"					"
"803779	11/12/00	11/14/00	1	1	414"
"					"
"815113	12/9/00	12/11/00	5	1	997.1"
"					"
"815113	12/9/00	12/11/00	5	2	413.9"
"					"
